YEAR,MONTH_NAME,BEGIN_DAY,BEGIN_DATE_TIME,TIME_OF_DAY,DAMAGE_PROPERTY,EVENT_TYPE,STATE,TOR_F_SCALE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,EVENT_NARRATIVE
2024,January,16,2024-01-16 09:42:00,09:42:00,100000,Flood,MONTANA,,(DLN)DILLON ARPT,45.25,-112.6,"Reported ice jam along the Beaverhead River northeast of Dillon, resulting in flooding along Laknar Lane, Pond Drive, and Park Street in North Dillon. Mitigation using hay bales prevented the flooding waters to move into another flood basin; however, some homes were still flooded in this area."
2024,February,26,2024-02-26 15:30:00,15:30:00,7500,Thunderstorm Wind,OREGON,,LACOMB,44.6201,-122.7533,"Property owner reported damage to 6 trees, along with minor damage to a door and a roof of two separate out buildings located on the property. There was a line of thunderstorms that moved across the area at that time."
2024,January,10,2024-01-10 09:00:00,09:00:00,200000,Flash Flood,MAINE,,PORTLAND,43.6712,-70.2589,"Heavy rain and snowmelt impacted Cumberland County through the early morning hours of January 10th. The rainfall totals of 2 inches and melting snow on already saturated ground led to rapid runoff of small streams and rivers along coastal watersheds. The freshwater run-off coincided with the near historical storm tide water levels not allowing for water to drain into the oceans. This interaction led to flash flooding at the time of high tide, causing numerous low lying back-bay areas to flood, along with increased urban flooding in the city of Portland as storm drains became overwhelmed. Back bay flooding was reported on Marginal Way with the closing of exit 7 off of I-295. Many businesses were flooded in the back bay area as the freshwater couldn't drain to the ocean. Additional flooding was reported on the waterfront area with storm drains also being a small contributing factor during high tide."
2024,January,13,2024-01-13 11:00:00,11:00:00,200000,Flash Flood,MAINE,,PORTLAND,43.671,-70.2586,"A coastal front was established along coastal Cumberland County that became the focus for localized moderate to heavy rain through the morning hours of January 13th.  The increased rainfall rates with rainfall totals of 2 inches on already saturated ground led to rapid runoff of small streams and rivers along coastal watersheds.  The freshwater run-off coincided with the historical storm tide water levels not allowing for water to drain into the oceans.  This interaction led to flash flooding at the time of high tide, causing numerous low lying back-bay areas to flood, along with increased urban flooding in the city of Portland as storm drains became overwhelmed. Back bay flooding was reported on Marginal Way with the closing of exit 7 off of I-295.  Many businesses were flooded in the back bay area as the freshwater couldn't drain to the ocean.  Additional flooding was reported on the waterfront area with storm drains also being a small contributing factor during high tide."
2024,January,10,2024-01-10 09:00:00,09:00:00,200000,Flash Flood,MAINE,,OLD ORCHARD BEACH,43.5576,-70.3884,"Heavy rain and snowmelt impacted Coastal York County through the early morning hours of January 10th. The rainfall totals of 2 inches and melting snow on already saturated ground led to rapid runoff of small streams and rivers along coastal watersheds. The freshwater run-off coincided with the near historical storm tide water levels not allowing for water to drain into the oceans. This interaction led to flash flooding at the time of high tide, causing numerous low lying back-bay areas to flood, along with increased urban flooding in the town and city centers near the waterfront as drains became overwhelmed. Many roads became flooded and closed due to the combination of tidal water, rain and snowmelt that overwhelmed small streams and basins along the coast."
2024,January,13,2024-01-13 11:00:00,11:00:00,50000,Flash Flood,MAINE,,YORK CLIFFS,43.1982,-70.5853,"A coastal front was established along coastal York County that became the focus for localized moderate to heavy rain through the morning hours of January 13th.  The increased rainfall rates with rainfall totals of 2 inches on already saturated ground led to rapid runoff of small streams and rivers along coastal watersheds.  The freshwater run-off coincided with the historical storm tide water levels not allowing for water to drain into the oceans.  This interaction led to flash flooding at the time of high tide, causing numerous low lying back-bay areas to flood, along with streams crossing roads at the intersection with tidal areas.  Flooding of this variety was reported across all the coastal York County towns.  Numerous swift water rescues already occurred at this time with motorists being stranded in their vehicles."
2024,January,13,2024-01-13 11:00:00,11:00:00,200000,Flash Flood,NEW HAMPSHIRE,,WENTWORTH ACRES,43.0963,-70.7862,"A coastal front was established along coastal Rockingham County that became the focus for localized moderate to heavy rain through the morning hours of January 13th.  The increased rainfall rates with rainfall totals of 2 inches on already saturated ground led to rapid runoff of small streams and rivers along coastal watersheds.  The freshwater run-off coincided with the historical storm tide water levels not allowing for water to drain into the oceans.  This interaction led to flash flooding at the time of high tide, causing numerous low lying back-bay areas to flood, along with streams crossing roads at the intersection with tidal areas.  Flooding of this variety was reported across all coastal Rockingham County towns.  Numerous swift water rescues already occurred at this time with motorists being stranded in their vehicles."
2024,February,28,2024-02-28 01:12:00,01:12:00,1000000,Tornado,MICHIGAN,EF2,GRAND BLANC,42.92,-83.67,"The tornado touched down in Creasey Bicentennial Park damaging the south pavilion and uprooting a pine tree. The tornado tracked east northeast across Westminster Cir where multiple trees were snapped, two garage doors were blown out, and a roof was partially stripped from one home. The tornado continued tracking east northeast across Porter Rd and Reid Rd where multiple limbs and trees were snapped. The peak of damage occurred at an industrial complex at the intersection of Reid and S Dort Hwy. Damage to the complex included blown out non load bearing walls and loss of the majority of the roof. Peak winds were estimated at 115 mph.  Multiple transmission poles were also snapped along S Dort Hwy. Damaged continued into the Indian Hill neighborhood near downtown Grand Blanc where multiple large trees were downed with some of them falling onto homes along Old Bridge Rd to Stonybrook Dr. The tornado tracked east northeast across Genesee Road to Belsay Rd snapping hardwood limbs and uprooting pine trees before greater damage occurred along Moonstone Dr and Brookview Dr. Damage in these areas included more widespread tree damage and one home with a garage door blown out and a roof partially uplifted. The tornado weakened and lifted shortly after it crossed Perry Rd."
2024,February,8,2024-02-08 17:39:00,17:39:00,2500000,Tornado,WISCONSIN,EF2,MAGNOLIA,42.7242,-89.3316,"Beginning section of the second tornado to ever occur in February in Wisconsin.  Storm chaser/spotter/public videos show the tornado beginning around 5:39pm south of Evansville.  The tornado intensified as it tracked to the east of Evansville where it impacted 30 primary residences (2 destroyed, 10 major impacts, 13 minor impacts, 5 affected).  Numerous barns and outbuildings were destroyed along the path as it tracked to the northwest of Edgerton.  The main EF-2 damage was confined to a stretch from east of Evansville to just southwest of the Yahara River.  There was one person in a car that was hit by the tornado that had injuries serious enough to warrant transportation to the hospital, but they were deemed minor and released.  Almost every person that was impacted by the tornado that the damage surveyors talked to said that they received the warning via Wireless Emergency Alert on their cell phone and then went to their shelter to gather more information via TV, radio, social media.  County wide estimates of damage was at about $2.5 million."
2024,February,28,2024-02-28 00:29:00,00:29:00,1000000,Tornado,MICHIGAN,EF1,MARSHALL,42.31,-84.98,A tornado touched down near sixteen and a quarter mile road and moved east northeast and uprooted or snapped hundreds of trees along its path. The tornado heavily damaged a few outbuildings and caused roof damage to a number of homes with shingles ripped off and tore away siding.  The tornado ended southwest of twenty one and a half mile road and L drive north. No injuries or fatalities were reported.
2024,February,28,2024-02-28 00:15:00,00:15:00,500000,Hail,MICHIGAN,,RENTON,42.27,-85.26,A supercell thunderstorm produced numerous reports of large hail ranging from an inch up to two and a half inches in diameter from near to just south of Battle Creek east northeast to Marshall.
2024,February,27,2024-02-27 23:26:00,23:26:00,250000,Thunderstorm Wind,MICHIGAN,,LAWTON,42.13,-85.88,A trained spotter three miles south southwest of Lawton reported that several trees and power lines were blown down onto county road 669 just north of 79th street.  Several trees and limbs were blown down onto homes and outbuildings in the area.
2024,February,27,2024-02-27 20:55:00,20:55:00,500,Hail,MICHIGAN,,SAWYER,41.9,-86.57,The public reported that hail lasted about 5 minutes.
2024,January,10,2024-01-10 00:26:00,00:26:00,20000,Flood,CONNECTICUT,,LANESVILLE,41.488,-73.4259,The Still Water at Brookfield rose above major flood stage during the early morning hours on January 10 to the late evening hours on January 10. This resulted in the river flooding roads and parking lots as well as some buildings along the river.
2024,January,25,2024-01-25 23:15:00,23:15:00,250000,Flash Flood,ILLINOIS,,LORENZO,41.3772,-88.2493,"The combination of warming temperatures, melting snow and heavy rain caused an ice jam to break along the Kankakee River between Wilmington and the Grundy County line during the late evening of January 25th resulting in flash flooding along portions of the river through the late evening of January 26th.  ||Roads and structures were flooded in Wilmington during the late evening of January 25th and by early morning of the 26th, a hotel and an apartment complex were evcauated.  A roadway was damaged in South Island Park.  Yards were flooded along Towpath Lane.  Route 53 was closed and water reached the bottom of the Route 53 bridge over the Kankakee River.  Ice piled up against a guardrail and water reached the shoulder of Widows Road near the water treatment plant.  By midday, water was reported on Widows Road and surrounded two homes, one of the homes was flooded with 3 to 4 feet of water.  Eventually 3 to 4 feet of water reached the pump house and wells at the water treatment plant.  Flooding was reported on Ballou Road from Forked Creek.||Later in the evening of the 26th, River Road south of Interstate 55 was flooded and impassable.  Only a few hours later, the water receded and ice and debris removal began on River Road.  Flooding continued to recede during the evening of the 26th though ice chunks, some significant in size, littered areas along and near the Kankakee River."
2024,January,9,2024-01-09 22:55:00,22:55:00,5000,Flood,CONNECTICUT,,POMPERAUG,41.3391,-73.1235,The Housatonic River at Stevenson Dam rose above moderate flood stage during the late evening hours on January 9 into the afternoon hours on January 10. This resulted in numerous homes in the Maples area of Shelton along Indian Well Road to be affected by flooding.
2024,February,28,2024-02-28 02:30:00,02:30:00,1000,Thunderstorm Wind,INDIANA,,ROYAL OAKS,41.0981,-85.0795,A tree was downed near the intersection of Reed Rd and E State blvd.
2024,February,28,2024-02-28 01:58:00,01:58:00,4000,Thunderstorm Wind,INDIANA,,HUNTINGTON,40.88,-85.51,A 53 mph wind gust was recorded. Numerous healthy trees down in the area.
2024,February,28,2024-02-28 02:25:00,02:25:00,10000,Thunderstorm Wind,INDIANA,,VERMONT,40.48,-86.03,A billboard was uprooted and then blown over 1500 feet by thunderstorm wind gusts.
2024,February,28,2024-02-28 07:07:00,07:07:00,1000,Thunderstorm Wind,OHIO,,CLENDENING,40.23,-81.24,"The Department of Highways reported trees down along State Route 799 at mile marker 5 near Freeport, OH."
2024,February,28,2024-02-28 07:32:00,07:32:00,1000,Thunderstorm Wind,OHIO,,HARRISVILLE,40.18,-80.89,"The Department of Highways reported trees down along US 250 near Harrisville, OH. Time estimated based on radar."
2024,February,28,2024-02-28 06:41:00,06:41:00,1000,Thunderstorm Wind,OHIO,,ADAMSVILLE,40.08,-81.88,The local emergency manager reported trees down near Adamsville. Road name unknown. Time based on radar.
2024,February,28,2024-02-28 06:06:00,06:06:00,50000,Thunderstorm Wind,OHIO,,GRANVILLE,40.06,-82.51,Numerous trees were uprooted and several buildings were damaged at Lake Hudson near Granville.
2024,February,28,2024-02-28 05:53:00,05:53:00,200000,Tornado,OHIO,EF2,JERSEY,40.0402,-82.7684,"The tornado began in Franklin County at 0549EST in the Havens Corners area. It moved east-northeast and entered Licking County near the intersection of Dixon and McOwen Roads at 0553EST.  The tornado caused a wide swath of tree and structural damage along its path across Graham Road SW and the Jersey area. Structural damage was mainly in the form of windows blown out, destroyed barns, and minor roof removal. The tornado slowly weakened as it moved east-northeast toward the southwest side of Granville where it dissipated. Along this stretch, mainly tree and very minor structural damage was noted."
2024,February,28,2024-02-28 05:49:00,05:49:00,300000,Tornado,OHIO,EF2,BLACKLICK,40.0221,-82.8191,"The tornado began in the Havens Corners area near Blacklick Elementary School and quickly strengthened as it moved through the Havenswood neighborhood, where it produced tree and minor structural damage indicative of winds between 85 mph and 100 mph. The tornado continued to rapidly strengthen as it approached McOwen Road, where considerable tree damage was observed and numerous stands of soft and hard wood trees were uprooted or completely snapped off. A shipping container was also tossed and a home suffered extensive roof loss along with the loss of one exterior wall. In this area, winds were estimated to be around 120 mph. The tornado began weakening slightly as it crossed into Licking County at 0553EST,  near the intersection of Dixon and McOwen Roads. The tornado continued east-northeast across western Licking County and ended at 0603EST, about 2 miles west southwest of Granville."
2024,February,28,2024-02-28 05:26:00,05:26:00,100000,Tornado,OHIO,EF1,MUDSOCK,40.005,-83.1844,"A weak tornado developed on the west side of Alton and Darby Creek Road and moved along the north side of Roberts Road through portions of the city of Hilliard.  Along the path, damage was a consistent mix of snapped trees, uprooted trees, numerous instances of minor roof and siding damage.  One home on Hilliard Rome Road lost part of its roof, and another home near Westbreeze Drive had an attached garage peeled away and shifted.  Damage in this area was consistent with wind speeds of around 110 mph.||The tornado weakened as it approached Interstate 270 and dissipated on the east side of the interstate. Additional damage was observed on both the west and east side of the interstate."
2024,February,28,2024-02-28 04:59:00,04:59:00,250,Thunderstorm Wind,OHIO,,HARMONY,39.93,-83.67,A 12 inch diameter tree was downed near New Love Road and Interstate 70.
2024,February,28,2024-02-28 05:25:00,05:25:00,50000,Tornado,OHIO,EF0,DARBY DAN ARPT,39.9223,-83.2424,"The tornado initially touched down in Clark County at 0514EST, 1 mile east of London. The tornado moved east-northeast and entered Franklin County at 0525EST, about 1.5 miles east southeast of West Jefferson.  The tornado caused damage to trees and outbuildings as it moved  through far Western Franklin County. The last known damage from this tornado occurred near the intersection of Alton Road and Murnan Road."
2024,February,28,2024-02-28 05:06:00,05:06:00,1000000,Tornado,OHIO,EF2,SUMMERFORD,39.9204,-83.5416,"The tornado first touched down in Clark County at 0452EST, 5 miles south-southeast of Springfield. It moved east-northeast and crossed into Madison County at 0506EST, 2.3 miles west-southwest of Summerford. ||The tornado downed numerous trees and caused significant damage to several structures as it moved through western Madison County.  Notable damage occurred at the Madison County Airport where one of the metal hangars was completely collapsed. There was also significant damage to several other hangars and planes at the airport. Based on the damage, winds were estimated to be 130 mph at this location. The tornado continued east from here, damaging other dwellings and trees. One home in particular had its second story completely removed. The tornado then lifted in an open field, 1 mile north-northeast of Lafayette."
2024,February,28,2024-02-28 07:44:00,07:44:00,1000,Thunderstorm Wind,WEST VIRGINIA,,MOUNDSVILLE,39.92,-80.74,"The Department of Transportation reported trees down in Moundsville, WV."
2024,February,28,2024-02-28 07:41:00,07:41:00,1000,Thunderstorm Wind,WEST VIRGINIA,,MC KEEFREY,39.91,-80.78,The local emergency manager reported trees Route 2. Time estimated based on radar.
2024,February,28,2024-02-28 07:42:00,07:42:00,1000,Thunderstorm Wind,WEST VIRGINIA,,MOUNDSVILLE,39.91,-80.72,"The local emergency manager reported trees down near Moundsville, OH."
2024,February,28,2024-02-28 08:45:00,08:45:00,5000,Thunderstorm Wind,PENNSYLVANIA,,LEITH,39.9,-79.72,A photo of a large pine down on Lincoln Street was provided.
